"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Gaby Sanchez","Marlins","643","8.9 %","15.7 %","0.56",".273",".341",".448",".788",".175","4.0",".299","-1.3","0.3","0.5","86","12.4",".345","111","3361"
"Alex Rios","White Sox","617","6.2 %","15.1 %","0.41",".284",".334",".457",".791",".173","6.2",".306","1.6","-2.0","0.7","82","11.3",".344","109","2090"
"Curtis Granderson","Yankees","528","10.0 %","22.0 %","0.46",".247",".324",".468",".792",".221","6.7",".277","-0.7","3.5","1.2","70","9.6",".344","110","4747"
"Derrek Lee","- - -","626","11.7 %","21.4 %","0.54",".260",".347",".428",".774",".168","1.9",".309","-1.5","-2.0","-1.5","83","11.1",".343","109","525"
"Omar Infante","Braves","506","5.7 %","12.3 %","0.47",".321",".359",".416",".775",".096","4.0",".355","0.4","-1.5","-1.5","67","9.0",".343","111","1609"
"Marlon Byrd","Cubs","630","4.9 %","15.6 %","0.32",".293",".346",".429",".775",".136","4.3",".335","0.5","-0.2","0.1","84","11.2",".343","108","950"
"Raul Ibanez","Phillies","636","10.7 %","17.0 %","0.63",".275",".349",".444",".793",".169","3.9",".311","-2.1","-0.1","-0.9","84","11.0",".343","110","607"
"Hunter Pence","Astros","658","6.2 %","16.0 %","0.39",".282",".325",".461",".786",".179","5.2",".304","3.0","0.7","-0.5","87","11.3",".342","111","8252"
"Adam LaRoche","Diamondbacks","615","7.8 %","28.0 %","0.28",".261",".320",".468",".788",".207","2.3",".330","-8.2","1.3","-0.8","81","9.9",".341","104","1904"
"Mike Napoli","Angels","510","8.2 %","26.9 %","0.31",".238",".316",".468",".784",".230","3.2",".279","0.3","-1.3","-0.3","67","8.0",".341","115","3057"
"Drew Stubbs","Reds","583","9.4 %","28.8 %","0.33",".255",".329",".444",".773",".189","7.7",".330","3.8","1.3","3.1","75","7.9",".338","105","9328"
"Johnny Damon","Tigers","613","11.3 %","14.7 %","0.77",".271",".355",".401",".756",".130","5.7",".312","2.9","2.2","1.3","79","8.1",".338","107","185"
"Dexter Fowler","Rockies","505","11.3 %","20.6 %","0.55",".260",".347",".410",".757",".150","6.7",".328","1.1","0.5","-1.0","65","6.6",".337","94","4062"
"Adam Jones","Orioles","621","3.7 %","19.2 %","0.19",".284",".325",".442",".767",".158","4.5",".328","2.8","-1.2","-1.9","79","7.7",".336","105","6368"
"Brandon Phillips","Reds","687","6.7 %","12.1 %","0.55",".275",".332",".430",".762",".155","5.4",".293","4.6","-0.7","-2.2","87","8.3",".336","104","791"
"Michael Young","Rangers","718","7.0 %","16.0 %","0.43",".284",".330",".444",".774",".160","3.7",".311","2.6","-1.0","-0.5","91","8.6",".336","101","1286"
"Angel Pagan","Mets","633","7.0 %","15.3 %","0.45",".290",".340",".425",".765",".135","6.9",".331","3.7","0.1","3.3","80","6.8",".334","108","2918"
"Lyle Overbay","Blue Jays","608","11.0 %","21.5 %","0.51",".243",".329",".433",".762",".189","2.9",".285","-1.7","0.7","-0.2","75","5.6",".332","105","1617"
"Jeff Keppinger","Astros","575","8.9 %","6.3 %","1.42",".288",".351",".393",".744",".105","3.0",".298","-2.9","-2.0","-0.1","71","5.0",".332","104","3856"
"Jonny Gomes","Reds","571","6.8 %","21.5 %","0.32",".266",".327",".431",".758",".164","4.5",".311","1.2","3.3","-0.6","70","4.6",".331","101","1845"
"Shane Victorino","Phillies","648","8.2 %","12.2 %","0.67",".259",".327",".429",".756",".170","7.6",".273","0.2","1.1","3.9","80","5.2",".331","102","1677"
"Ichiro Suzuki","Mariners","732","6.1 %","11.7 %","0.52",".315",".359",".394",".754",".079","5.4",".353","-1.3","1.8","4.1","90","5.6",".331","110","1101"
"Michael Cuddyer","Twins","675","8.6 %","13.8 %","0.62",".271",".336",".417",".753",".146","4.8",".298","2.3","-2.7","-0.3","82","4.7",".330","103","1534"
"Mark Reynolds","Diamondbacks","596","13.9 %","35.4 %","0.39",".198",".320",".433",".753",".234","4.1",".257","-1.8","0.8","-0.6","72","4.0",".329","96","7619"
"Starlin Castro","Cubs","506","5.7 %","14.0 %","0.41",".300",".347",".408",".755",".108","4.7",".346","2.3","-1.6","-1.6","61","3.3",".329","99","4579"
"Austin Jackson","Tigers","675","7.0 %","25.2 %","0.28",".293",".345",".400",".745",".107","7.9",".396","3.4","1.5","2.4","82","4.2",".329","101","9848"
"Ryan Ludwick","- - -","553","8.7 %","21.9 %","0.40",".251",".325",".418",".743",".167","2.6",".297","-0.6","-0.2","-2.0","67","3.5",".329","106","1260"
