"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Miguel Cabrera","Tigers","159","685","25","101","109","1","8.8 %","17.1 %",".211",".346",".313",".371",".524",".384","148","-2.4","34.0","-9.2","5.1","1744"
"Jason Heyward","Braves","149","649","11","74","58","20","10.3 %","15.1 %",".113",".308",".271",".351",".384",".329","109","3.4","10.3","17.3","5.1","4940"
"Jose Altuve","Astros","158","707","7","85","59","56","5.1 %","7.5 %",".112",".360",".341",".377",".453",".363","137","4.9","33.5","-10.1","5.1","5417"
"Josh Harrison","Pirates","143","550","13","77","52","18","4.0 %","14.7 %",".175",".353",".315",".347",".490",".365","137","3.5","26.3","3.1","5.0","8202"
"Jayson Werth","Nationals","147","629","16","85","82","9","13.2 %","18.0 %",".163",".343",".292",".394",".455",".377","141","6.1","35.0","-8.5","5.0","1327"
"Todd Frazier","Reds","157","660","29","88","80","20","7.9 %","21.1 %",".186",".309",".273",".336",".459",".350","122","4.7","20.8","3.4","4.8","785"
"Brian Dozier","Twins","156","707","23","112","71","21","12.6 %","18.2 %",".174",".269",".242",".345",".416",".340","117","9.5","22.3","-2.7","4.7","9810"
"Howie Kendrick","Angels","157","674","7","85","75","14","7.1 %","16.3 %",".104",".347",".293",".347",".397",".328","114","0.8","11.5","8.8","4.6","4229"
"Chase Utley","Phillies","155","664","11","74","78","10","8.0 %","12.8 %",".138",".295",".270",".339",".407",".325","107","6.5","11.6","10.3","4.6","1679"
"Hunter Pence","Giants","162","708","20","106","74","13","7.3 %","18.4 %",".168",".318",".277",".332",".445",".341","122","6.2","23.5","-3.4","4.5","8252"
"Christian Yelich","Marlins","144","660","9","94","54","21","10.6 %","20.8 %",".119",".356",".284",".362",".402",".341","118","3.8","17.4","4.0","4.5","11477"
"Yan Gomes","Indians","135","518","21","61","74","0","4.6 %","23.2 %",".194",".326",".278",".313",".472",".340","117","0.9","10.7","12.4","4.4","9627"
"Victor Martinez","Tigers","151","641","32","87","103","3","10.9 %","6.6 %",".230",".316",".335",".409",".565",".411","168","-7.5","40.1","-21.2","4.3","393"
"Starling Marte","Pirates","135","545","13","73","56","30","6.1 %","24.0 %",".162",".373",".291",".356",".453",".358","132","8.0","27.7","-4.5","4.3","9241"
"Erick Aybar","Angels","156","641","7","77","68","16","5.6 %","9.7 %",".100",".297",".278",".321",".379",".308","101","2.8","3.4","14.6","4.2","4082"
"Chase Headley","- - -","135","531","13","55","49","7","9.6 %","23.0 %",".130",".301",".243",".328",".372",".316","103","-1.5","0.3","21.6","4.2","4720"
"Dustin Pedroia","Red Sox","135","609","7","72","53","6","8.4 %","12.3 %",".098",".307",".278",".337",".376",".318","98","-1.2","-2.4","20.3","4.1","8370"
"Freddie Freeman","Braves","162","708","18","93","78","3","12.7 %","20.5 %",".173",".351",".288",".386",".461",".374","140","-4.0","27.8","-11.4","4.1","5361"
"Jacoby Ellsbury","Yankees","149","635","16","71","70","39","7.7 %","14.6 %",".148",".296",".271",".328",".419",".327","109","8.1","14.5","2.1","4.1","4727"
"Denard Span","Nationals","147","668","5","94","37","31","7.5 %","9.7 %",".115",".330",".302",".355",".416",".341","117","6.4","19.0","-2.4","4.0","8347"
"Ian Desmond","Nationals","154","648","24","73","91","24","7.1 %","28.2 %",".175",".326",".255",".313",".430",".329","108","3.8","9.7","7.2","4.0","6885"
"Matt Carpenter","Cardinals","158","709","8","99","59","5","13.4 %","15.7 %",".103",".318",".272",".375",".375",".339","117","0.0","13.4","1.4","3.9","8090"
"Justin Upton","Braves","154","641","29","77","102","8","9.4 %","26.7 %",".221",".332",".270",".342",".491",".363","133","0.9","24.5","-7.7","3.9","5222"
"Jimmy Rollins","Phillies","138","609","17","78","55","28","10.5 %","16.4 %",".151",".269",".243",".323",".394",".319","103","5.6","7.9","9.5","3.9","971"
"Marcell Ozuna","Marlins","153","612","23","72","85","3","6.7 %","26.8 %",".186",".337",".269",".317",".455",".338","116","1.0","12.1","4.9","3.9","10324"
"Kole Calhoun","Angels","127","537","17","90","58","5","7.1 %","19.4 %",".178",".313",".272",".325",".450",".341","124","2.0","16.2","0.3","3.7","11200"
"Nelson Cruz","Orioles","159","678","40","87","108","4","8.1 %","20.6 %",".254",".288",".271",".333",".525",".370","137","-4.8","22.9","-11.2","3.7","2434"
"Billy Hamilton","Reds","152","611","6","72","48","56","5.6 %","19.1 %",".105",".304",".250",".292",".355",".287","79","7.6","-6.7","22.0","3.7","10199"
"Adrian Gonzalez","Dodgers","159","660","27","83","116","1","8.5 %","17.0 %",".206",".294",".276",".335",".482",".351","129","-2.1","19.5","-6.0","3.6","1908"
"Neil Walker","Pirates","137","571","23","74","76","2","7.9 %","15.4 %",".195",".288",".271",".342",".467",".356","130","1.3","20.8","-4.8","3.6","7539"
"Leonys Martin","Rangers","155","583","7","68","40","31","6.7 %","19.6 %",".090",".336",".274",".325",".364",".306","91","6.6","0.7","13.3","3.6","11846"
"Matt Holliday","Cardinals","156","667","20","83","90","4","11.1 %","15.0 %",".169",".298",".272",".370",".441",".360","132","-1.7","22.1","-9.1","3.6","1873"
"Edwin Encarnacion","Blue Jays","128","542","34","75","98","2","11.4 %","15.1 %",".279",".260",".268",".354",".547",".389","151","0.5","31.1","-15.8","3.6","2151"
"Trevor Plouffe","Twins","136","582","14","69","80","2","9.1 %","18.7 %",".165",".299",".258",".328",".423",".331","111","-1.2","5.7","7.8","3.5","7462"
"Jose Reyes","Blue Jays","143","655","9","94","51","30","5.8 %","11.1 %",".111",".312",".287",".328",".398",".321","104","8.3","11.1","-0.1","3.5","1736"
"Brett Gardner","Yankees","148","636","17","87","58","21","8.8 %","21.1 %",".166",".305",".256",".327",".422",".331","112","5.6","14.0","-2.9","3.5","9927"
"Hanley Ramirez","Dodgers","128","512","13","64","71","14","10.9 %","16.4 %",".165",".323",".283",".369",".448",".362","136","0.7","21.6","-6.1","3.4","8001"
"Yoenis Cespedes","- - -","152","645","22","89","100","7","5.4 %","19.8 %",".190",".293",".260",".301",".450",".326","110","2.2","9.0","0.4","3.3","13110"
"Dee Gordon","Dodgers","148","650","2","92","34","64","4.8 %","16.5 %",".089",".346",".289",".326",".378",".312","102","10.4","12.1","-1.3","3.3","8203"
"J.J. Hardy","Orioles","141","569","9","56","52","0","5.1 %","18.3 %",".104",".317",".268",".309",".372",".303","90","-2.5","-8.6","20.4","3.3","3797"
"Evan Longoria","Rays","162","700","22","83","91","5","8.1 %","19.0 %",".151",".285",".253",".320",".404",".316","105","2.7","6.3","1.2","3.3","9368"
"Desmond Jennings","Rays","123","542","10","64","36","15","8.7 %","19.9 %",".134",".296",".244",".319",".378",".313","103","3.9","5.3","6.3","3.2","1965"
"Lucas Duda","Mets","153","596","30","74","92","3","11.6 %","22.7 %",".228",".283",".253",".349",".481",".361","135","-1.2","22.3","-11.0","3.2","2502"
"Alexei Ramirez","White Sox","158","657","15","82","74","21","3.7 %","12.3 %",".135",".292",".273",".305",".408",".314","100","1.4","1.3","6.4","3.2","5133"
"Alcides Escobar","Royals","162","620","3","74","50","31","3.7 %","13.4 %",".092",".326",".285",".317",".377",".307","93","4.8","-0.1","9.0","3.2","6310"
"Adam Eaton","White Sox","123","538","1","76","35","15","8.0 %","15.4 %",".101",".359",".300",".362",".401",".340","118","1.7","12.2","-1.6","3.1","11205"
"Salvador Perez","Royals","150","606","17","57","70","1","3.6 %","14.0 %",".144",".278",".260",".289",".403",".303","91","-3.0","-9.2","16.6","2.9","7304"
"Luis Valbuena","Cubs","149","547","16","68","51","1","11.9 %","20.7 %",".186",".294",".249",".341",".435",".342","118","0.6","11.7","-1.1","2.9","4969"
"Brandon Crawford","Giants","153","564","10","54","69","5","10.5 %","22.9 %",".143",".307",".246",".324",".389",".309","101","2.0","2.3","7.5","2.9","5343"
"Pablo Sandoval","Giants","157","638","16","68","73","0","6.1 %","13.3 %",".136",".300",".279",".324",".415",".323","110","-4.8","2.3","5.3","2.9","5409"
"Albert Pujols","Angels","159","695","28","89","105","5","6.9 %","10.2 %",".194",".265",".272",".324",".466",".340","123","-7.2","10.4","-7.0","2.8","1177"
"Starlin Castro","Cubs","134","569","14","58","65","4","6.2 %","17.6 %",".146",".337",".292",".339",".438",".341","117","-4.7","6.4","2.4","2.8","4579"
"Carlos Santana","Indians","152","660","27","68","85","5","17.1 %","18.8 %",".196",".249",".231",".365",".427",".353","126","-1.7","17.5","-14.6","2.6","2396"
"Brandon Moss","Athletics","147","580","25","70","81","1","11.6 %","26.4 %",".204",".283",".234",".334",".438",".339","122","2.0","16.0","-11.1","2.6","4467"
"Justin Morneau","Rockies","135","550","17","62","82","0","6.2 %","10.9 %",".177",".330",".319",".364",".496",".373","122","-3.0","10.5","-3.3","2.6","1737"
"Seth Smith","Padres","136","521","12","55","48","1","13.2 %","16.7 %",".174",".305",".266",".367",".440",".357","132","-2.8","16.0","-8.6","2.5","7331"
"Nick Markakis","Orioles","155","710","14","81","50","4","8.7 %","11.8 %",".111",".299",".276",".342",".386",".325","106","-2.5","2.1","-2.5","2.5","5930"
"Melky Cabrera","Blue Jays","139","621","16","81","73","6","6.9 %","10.8 %",".157",".316",".301",".351",".458",".354","127","-3.8","14.5","-12.1","2.5","4022"
"Brian McCann","Yankees","140","538","23","57","75","0","5.9 %","14.3 %",".174",".231",".232",".286",".406",".306","94","-3.2","-6.7","11.5","2.4","4810"
"Daniel Murphy","Mets","143","642","9","79","57","13","6.1 %","13.4 %",".114",".322",".289",".332",".403",".324","110","0.5","7.4","-4.5","2.4","4316"
"Martin Prado","- - -","143","573","12","62","58","3","4.5 %","14.0 %",".131",".310",".282",".321",".412",".324","102","-3.0","-1.7","5.3","2.3","3312"
"Marlon Byrd","Phillies","154","637","25","71","85","3","5.5 %","29.0 %",".181",".341",".264",".312",".445",".330","110","-2.2","5.2","-3.2","2.3","950"
"David Ortiz","Red Sox","142","602","35","59","104","0","12.5 %","15.8 %",".255",".256",".263",".355",".517",".369","134","-7.0","15.5","-14.2","2.3","745"
"Nori Aoki","Royals","132","549","1","63","43","17","7.8 %","8.9 %",".075",".314",".285",".349",".360",".320","102","1.2","2.5","0.2","2.2","13075"
"Ben Revere","Phillies","151","626","2","71","28","49","2.1 %","7.8 %",".055",".330",".306",".325",".361",".304","93","10.8","5.8","-4.4","2.2","4712"
"Dustin Ackley","Mariners","143","542","14","64","65","8","5.9 %","16.6 %",".153",".273",".245",".293",".398",".305","98","1.8","0.6","1.0","2.1","10099"
"Matt Adams","Cardinals","142","563","15","55","68","3","4.6 %","20.2 %",".169",".338",".288",".321",".457",".337","116","0.0","9.8","-7.5","2.1","9393"
