Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Scott Williamson,2006,Orioles,2,4,42,0,0,39.1,41,4,22,42,26,0,0,1,25,1,3,1,0,176,8,0.92,5.03,9.61,1.91,11.4,50.0,11.8,65.1,5.72,0.34600000000000003,4.09,1.6,-0.72,0.3,1.0,900000.0,900000.0
Steve Kline,2006,Giants,4,3,72,0,0,51.2,53,3,26,33,24,1,0,0,21,1,18,3,0,227,1,0.52,4.53,5.75,1.27,3.1,46.9,5.5,73.9,3.66,0.305,4.19,1.53,0.73,0.2,2.0,3500000.0,1750000.0
Steve Trachsel,2006,Mets,15,8,30,30,1,164.2,185,23,78,79,94,0,0,0,91,4,0,1,0,736,4,1.26,4.26,4.32,1.01,0.1,41.5,10.1,73.7,4.97,0.293,5.5,1.6,-0.69,0.5,1.0,3100000.0,3100000.0
Tanyon Sturtze,2006,Yankees,0,0,18,0,0,10.2,17,3,6,6,10,0,0,0,9,1,3,0,0,56,0,2.53,5.06,5.06,1.0,0.0,44.2,20.0,70.7,7.59,0.35,7.65,2.16,-0.52,-0.3,1.0,750000.0,750000.0
Ted Lilly,2006,Blue Jays,15,13,32,32,0,181.2,179,28,81,160,98,0,0,4,87,4,0,6,0,797,7,1.39,4.01,7.93,1.98,9.9,37.7,12.1,73.8,4.31,0.28800000000000003,4.79,1.43,0.47,2.1,4.0,40000000.0,10000000.0
Tom Martin,2006,Rockies,2,0,68,0,0,60.1,62,4,25,46,37,0,1,0,34,4,11,5,0,266,1,0.6,3.73,6.86,1.84,7.9,49.2,7.5,63.2,5.07,0.31,3.93,1.44,0.36,0.7,1.0,800000.0,800000.0
Tomo Ohka,2006,Brewers,4,5,18,18,0,97.0,98,12,35,50,58,0,0,0,52,5,0,1,0,421,4,1.11,3.25,4.64,1.43,3.6,39.2,9.6,66.0,4.82,0.27,4.96,1.37,0.02,0.9,1.0,1500000.0,1500000.0
Vicente Padilla,2006,Rangers,15,10,33,33,0,200.0,206,21,70,156,108,0,0,2,100,17,0,2,0,872,4,0.94,3.15,7.02,2.23,9.9,44.1,9.9,70.2,4.5,0.304,4.26,1.38,0.11,3.2,3.0,33750000.0,11250000.0
Wade Miller,2006,Cubs,0,2,5,5,0,21.2,19,4,18,20,12,0,0,0,11,1,0,1,0,103,1,1.66,7.48,8.31,1.11,1.9,32.3,12.9,80.3,4.57,0.25,6.33,1.71,-0.07,-0.1,1.0,1500000.0,1500000.0
Woody Williams,2006,Padres,12,5,25,24,0,145.1,152,21,35,72,68,0,0,1,59,7,0,3,0,624,4,1.3,2.17,4.46,2.06,5.9,35.9,9.9,76.6,3.65,0.268,4.9,1.29,-0.03,1.2,2.0,12500000.0,6250000.0
Andy Pettitte,2007,Yankees,15,9,36,34,0,215.1,238,16,69,141,106,0,0,0,97,1,1,1,0,916,3,0.67,2.88,5.89,2.04,7.9,47.7,7.0,70.7,4.05,0.322,3.87,1.43,0.47,4.0,1.0,16000000.0,16000000.0
Brett Tomko,2007,Royals,4,12,40,19,0,131.1,149,18,48,105,89,0,0,0,81,2,0,1,0,588,5,1.23,3.29,7.2,2.19,9.7,41.0,11.2,63.3,5.55,0.316,4.56,1.5,-2.42,1.2,1.0,3000000.0,3000000.0
Byung-Hyun Kim,2007,Pirates,10,8,28,22,0,118.1,131,20,68,107,90,0,0,1,80,16,0,3,0,562,4,1.52,5.17,8.14,1.57,6.9,40.2,13.8,66.8,6.08,0.316,5.76,1.68,-2.15,-0.2,1.0,850000.0,850000.0
Carlos Silva,2007,Twins,13,14,33,33,2,202.0,229,20,36,89,99,0,0,1,94,4,0,2,1,848,4,0.89,1.6,3.97,2.47,6.3,47.5,8.4,70.5,4.19,0.299,4.24,1.31,1.55,2.6,4.0,48000000.0,12000000.0
Chad Durbin,2007,Tigers,8,7,36,19,0,127.2,133,21,49,66,71,1,1,0,67,8,3,4,0,561,2,1.48,3.45,4.65,1.35,3.0,44.0,12.1,74.1,4.72,0.269,5.68,1.43,0.05,-0.2,1.0,900000.0,900000.0
Chad Paronto,2007,Braves,3,1,41,0,0,40.1,47,1,19,14,20,1,1,0,16,3,2,5,0,180,2,0.22,4.24,3.12,0.74,-2.8,50.7,2.1,72.5,3.57,0.322,4.5,1.64,-0.15,0.1,1.0,500000.0,500000.0
David Riske,2007,Royals,1,4,65,0,0,69.2,61,8,27,52,19,4,4,0,19,1,16,4,0,289,0,1.03,3.49,6.72,1.93,8.7,41.4,9.5,90.0,2.45,0.264,4.45,1.26,0.16,0.1,3.0,13000000.0,4333333.333333333
Doug Brocail,2007,Padres,5,1,67,0,0,76.2,66,8,24,43,33,0,0,0,26,2,10,3,0,319,2,0.94,2.82,5.05,1.79,6.0,42.4,8.2,73.0,3.05,0.24,4.49,1.17,1.19,0.0,1.0,2500000.0,2500000.0
Eddie Guardado,2007,Reds,0,0,15,0,0,13.2,16,2,4,8,11,0,2,0,11,1,1,0,0,62,0,1.32,2.63,5.27,2.0,6.5,22.9,8.7,55.0,7.24,0.298,5.07,1.46,0.12,0.1,1.0,2000000.0,2000000.0
Eric Gagne,2007,Brewers,4,2,54,0,0,52.0,49,3,21,51,22,16,4,0,22,1,4,0,0,222,1,0.52,3.63,8.83,2.43,13.5,38.5,5.2,73.4,3.81,0.315,3.3,1.35,0.37,0.9,1.0,10000000.0,10000000.0
Francisco Cordero,2007,Brewers,0,4,66,0,0,63.1,52,4,18,86,23,44,7,0,21,1,0,1,0,261,2,0.57,2.56,12.22,4.78,26.1,40.5,6.2,73.4,2.98,0.316,2.24,1.11,1.51,2.4,4.0,46000000.0,11500000.0
Jack Cassel,2007,Padres,1,1,6,4,0,22.2,30,1,5,11,10,0,0,0,10,1,0,0,0,98,1,0.4,1.99,4.37,2.2,6.1,41.3,3.8,75.1,3.97,0.363,3.64,1.54,0.18,0.4,1.0,400000.0,400000.0
Jason Jennings,2007,Astros,2,9,19,18,0,99.0,119,19,34,71,73,0,0,0,71,2,0,2,0,445,5,1.73,3.09,6.45,2.09,8.3,35.2,13.1,63.9,6.45,0.313,5.39,1.55,-1.76,0.4,1.0,4000000.0,4000000.0
Jeremy Affeldt,2007,Rockies,4,3,75,0,0,59.0,47,3,33,46,26,0,4,1,23,3,9,9,0,253,6,0.46,5.03,7.02,1.39,5.1,53.0,5.6,72.3,3.51,0.262,4.17,1.36,-1.26,0.4,1.0,3000000.0,3000000.0
Jon Lieber,2007,Phillies,3,6,14,12,1,78.0,91,7,22,54,44,0,0,1,41,3,0,5,1,342,1,0.81,2.54,6.23,2.45,9.4,43.8,9.5,67.8,4.73,0.328,3.98,1.45,-0.51,1.4,1.0,3500000.0,3500000.0
Josh Fogg,2007,Rockies,10,9,30,29,0,165.2,194,23,59,94,99,0,0,0,91,13,0,7,0,745,3,1.25,3.21,5.11,1.59,4.7,40.0,10.1,71.4,4.94,0.308,5.21,1.53,0.05,1.3,1.0,1000000.0,1000000.0
Josh Towers,2007,Blue Jays,5,10,25,15,0,107.0,129,18,22,76,73,0,0,0,64,6,0,2,0,469,1,1.51,1.85,6.39,3.45,11.5,43.9,14.1,63.7,5.38,0.32,4.79,1.41,-1.86,0.6,1.0,400000.0,400000.0
Kenny Rogers,2007,Tigers,3,4,11,11,0,63.0,65,8,25,36,36,0,0,0,31,1,0,0,0,275,1,1.14,3.57,5.14,1.44,4.0,47.9,12.9,68.9,4.43,0.278,4.99,1.43,-0.21,0.4,1.0,8000000.0,8000000.0
Kerry Wood,2007,Cubs,1,1,22,0,0,24.1,18,0,13,24,9,0,0,0,9,0,0,1,0,101,1,0.0,4.81,8.88,1.85,10.9,33.9,0.0,71.0,3.33,0.281,2.87,1.27,-0.16,0.4,1.0,4200000.0,4200000.0
Kip Wells,2007,Cardinals,7,17,34,26,0,162.2,186,19,78,122,116,0,0,1,103,9,0,9,0,750,8,1.05,4.32,6.75,1.56,5.9,48.2,11.0,63.7,5.7,0.32,4.86,1.62,-2.89,0.9,1.0,3100000.0,3100000.0
Kyle Lohse,2007,Cardinals,9,12,34,32,2,192.2,207,22,57,122,109,0,0,0,99,12,0,3,1,829,3,1.03,2.66,5.7,2.14,7.8,36.9,8.6,68.1,4.62,0.3,4.53,1.37,0.35,3.0,1.0,4250000.0,4250000.0
LaTroy Hawkins,2007,Rockies,2,5,62,0,0,55.1,52,6,16,29,21,0,5,0,21,0,18,1,0,225,2,0.98,2.6,4.72,1.81,5.8,63.3,16.2,78.9,3.42,0.264,4.47,1.23,-0.28,0.2,1.0,3750000.0,3750000.0
Livan Hernandez,2007,Diamondbacks,11,11,33,33,1,204.1,247,34,79,90,116,0,0,2,112,6,0,1,0,913,3,1.5,3.48,3.96,1.14,1.2,38.5,11.8,76.0,4.93,0.303,5.77,1.6,0.4,0.2,1.0,5000000.0,5000000.0
Luis Vizcaino,2007,Yankees,8,2,77,0,0,75.1,66,6,43,62,37,0,3,0,36,2,14,11,0,334,1,0.72,5.14,7.41,1.44,5.7,35.6,5.9,72.1,4.3,0.271,4.42,1.45,1.28,0.3,2.0,7500000.0,3750000.0
Mariano Rivera,2007,Yankees,3,4,67,0,0,71.1,68,4,12,74,25,30,4,0,25,6,0,2,0,295,1,0.5,1.51,9.34,6.17,21.0,53.0,7.0,75.9,3.15,0.322,2.65,1.12,2.25,2.0,3.0,45000000.0,15000000.0
Mark Hendrickson,2007,Dodgers,4,8,39,15,0,122.2,142,15,29,92,75,0,1,0,71,1,2,4,0,532,4,1.1,2.13,6.75,3.17,11.8,44.1,11.6,64.2,5.21,0.322,4.06,1.39,-1.31,1.6,1.0,1500000.0,1500000.0
Mark Redman,2007,Rockies,2,4,11,8,0,41.1,59,6,17,27,37,0,0,1,35,2,0,2,0,200,1,1.31,3.7,5.88,1.59,5.0,35.5,9.0,58.9,7.62,0.358,5.2,1.84,-1.48,0.3,1.0,1000000.0,1000000.0
Matt Herges,2007,Rockies,5,1,35,0,0,48.2,34,4,15,30,17,0,2,0,16,0,3,2,0,191,0,0.74,2.77,5.55,2.0,7.9,46.5,7.4,73.7,2.96,0.211,4.0,1.01,1.96,0.4,1.0,2500000.0,2500000.0
Matt Wise,2007,Brewers,3,2,56,0,0,53.2,61,5,17,43,30,1,1,1,25,1,13,1,0,236,0,0.84,2.85,7.21,2.53,11.0,34.9,6.0,68.1,4.19,0.329,3.85,1.45,0.6,0.6,1.0,1200000.0,1200000.0
Mike Timlin,2007,Red Sox,2,1,50,0,0,55.1,46,7,14,31,23,1,0,0,21,3,8,3,0,222,0,1.14,2.28,5.04,2.21,7.7,38.7,9.2,75.2,3.42,0.234,4.69,1.08,1.18,0.0,1.0,3000000.0,3000000.0
Octavio Dotel,2007,White Sox,2,1,33,0,0,30.2,29,4,12,41,16,11,4,0,14,4,1,4,0,138,2,1.17,3.52,12.03,3.42,21.0,38.0,11.1,73.6,4.11,0.325,3.83,1.34,0.01,0.3,2.0,11000000.0,5500000.0
Randy Wolf,2007,Dodgers,9,6,18,18,0,102.2,110,10,39,94,55,0,0,0,54,6,0,2,0,458,4,0.88,3.42,8.24,2.41,12.0,40.8,8.1,70.9,4.73,0.324,3.99,1.45,-0.55,1.9,1.0,4750000.0,4750000.0
Ron Mahay,2007,Royals,3,0,58,0,0,67.0,52,4,37,55,20,1,1,1,19,1,7,2,0,281,1,0.54,4.97,7.39,1.49,6.4,48.9,6.3,82.9,2.55,0.261,4.08,1.33,0.4,0.5,2.0,8000000.0,4000000.0
Scott Linebrink,2007,White Sox,5,6,71,0,0,70.1,68,12,25,50,33,1,7,0,29,1,21,3,0,295,6,1.54,3.2,6.4,2.0,8.5,42.1,15.0,79.0,3.71,0.271,5.14,1.32,0.12,-0.5,4.0,19000000.0,4750000.0
Shawn Chacon,2007,Pirates,5,4,64,4,0,96.0,95,9,48,79,42,1,7,0,42,7,12,11,0,428,1,0.84,4.5,7.41,1.65,7.2,43.8,8.3,78.6,3.94,0.302,4.53,1.49,0.79,0.5,1.0,2000000.0,2000000.0
Trever Miller,2007,Astros,0,0,76,0,0,46.1,45,6,23,46,26,1,2,0,25,4,12,6,0,211,1,1.17,4.47,8.94,2.0,10.9,34.1,9.2,72.3,4.86,0.295,4.69,1.47,-0.33,0.1,1.0,2000000.0,2000000.0
Troy Percival,2007,Cardinals,3,0,34,1,0,40.0,24,3,10,36,8,0,0,0,8,0,3,0,0,150,2,0.68,2.25,8.1,3.6,17.3,33.0,5.3,87.3,1.8,0.208,3.16,0.85,0.94,0.7,2.0,8000000.0,4000000.0
A.J. Burnett,2008,Blue Jays,18,10,35,34,1,221.1,211,19,86,231,109,0,0,2,100,9,0,2,0,957,11,0.77,3.5,9.39,2.69,15.2,48.5,9.7,70.5,4.07,0.314,3.45,1.34,1.03,5.1,5.0,82500000.0,16500000.0
