Name,Yr,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP,Contract Yrs,Total Salary($),Avg Salary($)
David Wells,2006,Padres,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-0.34,3.0,5.0,13.0,0.0,75.1,97.0,11.0,12.0,38.0,41.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,324.0,0.0,1.31,1.43,4.54,3.17,8.0,48.9,12.2,72.7,4.42,0.327,4.51,1.45,1.0,3000000.0,3000000.0
Doug Brocail,2006,Padres,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.09,2.0,2.0,0.0,0.0,28.1,27.0,1.0,8.0,19.0,16.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,119.0,1.0,0.32,2.54,6.04,2.38,9.2,40.2,3.4,56.6,4.76,0.28600000000000003,3.11,1.24,1.0,500000.0,500000.0
Doug Mientkiewicz,2006,Royals,91,314.0,361.0,89.0,59.0,24.0,2.0,4.0,37.0,43.0,35.0,1.0,50.0,9.7,13.9,0.7,0.321,5.0,5.0,1.0,6.0,3.0,0.0,0.3,0.127,0.338,2.0,0.28300000000000003,0.359,0.411,0.77,0.9,102.0,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500000.0,1500000.0
Doug Mirabelli,2006,Red Sox,73,183.0,202.0,35.0,22.0,7.0,0.0,6.0,13.0,25.0,15.0,0.0,59.0,7.4,29.2,0.25,0.246,4.0,0.0,0.0,2.0,0.0,0.0,1.7,0.13699999999999998,0.266,-11.4,0.191,0.267,0.328,0.595,-0.5,52.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000.0,750000.0
Frank Catalanotto,2006,Blue Jays,128,437.0,499.0,131.0,86.0,36.0,2.0,7.0,56.0,56.0,52.0,0.0,37.0,10.4,7.4,1.41,0.312,4.0,4.0,2.0,11.0,1.0,3.0,1.7,0.14,0.358,11.2,0.3,0.376,0.439,0.816,2.6,113.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13000000.0,4333333.333333333
Gary Bennett,2006,Cardinals,60,157.0,170.0,35.0,26.0,5.0,0.0,4.0,13.0,22.0,11.0,2.0,30.0,6.5,17.6,0.37,0.252,0.0,0.0,2.0,3.0,0.0,0.0,-0.7,0.108,0.263,-10.0,0.223,0.274,0.331,0.605,-0.5,54.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900000.0,900000.0
Geoff Blum,2006,Padres,109,276.0,299.0,70.0,48.0,17.0,1.0,4.0,27.0,34.0,17.0,1.0,51.0,5.7,17.1,0.33,0.293,0.0,4.0,2.0,5.0,0.0,1.0,8.8,0.112,0.28600000000000003,-11.7,0.254,0.293,0.366,0.659,0.8,74.0,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900000.0,900000.0
Gil Meche,2006,Mariners,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,-0.59,11.0,8.0,32.0,1.0,186.2,183.0,24.0,84.0,156.0,106.0,0.0,0.0,2.0,93.0,8.0,0.0,2.0,0.0,811.0,4.0,1.16,4.05,7.52,1.86,8.9,43.1,11.3,70.0,4.48,0.295,4.63,1.43,5.0,55000000.0,11000000.0
Gregg Zaun,2006,Blue Jays,99,290.0,339.0,79.0,48.0,19.0,0.0,12.0,39.0,40.0,41.0,3.0,42.0,12.1,12.4,0.98,0.278,3.0,5.0,0.0,10.0,0.0,2.0,0.6,0.19,0.354,6.6,0.272,0.363,0.462,0.825,1.5,111.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7250000.0,3625000.0
Guillermo Mota,2006,Mets,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.34,4.0,3.0,0.0,0.0,55.2,55.0,11.0,24.0,46.0,29.0,0.0,0.0,0.0,28.0,0.0,9.0,4.0,0.0,241.0,2.0,1.78,3.88,7.44,1.92,9.1,34.1,13.4,78.6,4.53,0.275,5.36,1.42,2.0,5000000.0,2500000.0
