Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Prince Fielder,Brewers,159,588,694,162,96,30,2,34,86,102,84,19,134,12.1,19.3,0.63,0.298,12,10,0,12,3,2,-20.7,0.231,0.371,24.7,0.276,0.37200000000000005,0.507,0.879,1.3,125,2.95
Bobby Crosby,Athletics,145,556,605,132,85,39,1,7,66,61,47,0,96,7.8,15.9,0.49,0.275,0,2,0,18,7,3,9.4,0.11199999999999999,0.28800000000000003,-20.1,0.237,0.29600000000000004,0.349,0.645,1.3,74,-2.39
Jack Hannahan,Athletics,143,436,501,95,59,27,0,9,48,47,55,4,131,11.0,26.1,0.42,0.28600000000000003,2,5,3,5,2,0,10.2,0.124,0.289,-16.3,0.218,0.305,0.342,0.647,1.3,75,-1.24
Mark Reynolds,Diamondbacks,152,539,613,129,70,28,3,28,87,97,64,0,204,10.4,33.3,0.31,0.32299999999999995,3,6,1,10,11,2,-8.1,0.21899999999999997,0.33799999999999997,5.0,0.239,0.32,0.45799999999999996,0.779,1.3,97,0.53
Gregor Blanco,Braves,144,430,519,108,89,14,4,1,52,38,74,2,99,14.3,19.1,0.75,0.321,6,3,6,3,13,5,-1.4,0.057999999999999996,0.315,-5.5,0.251,0.366,0.309,0.6759999999999999,1.2,89,-0.4
Edgar Renteria,Tigers,138,503,547,136,102,22,2,10,69,55,37,1,64,6.8,11.7,0.58,0.29,0,5,2,19,6,3,5.1,0.111,0.309,-8.8,0.27,0.317,0.382,0.6990000000000001,1.1,84,-1.84
Nick Swisher,White Sox,153,497,588,109,63,21,1,24,86,69,82,6,135,13.9,23.0,0.61,0.249,4,4,1,14,3,3,-3.0,0.191,0.327,-0.7,0.21899999999999997,0.332,0.41,0.743,1.1,93,-0.74
A.J. Pierzynski,White Sox,134,534,570,150,105,31,1,13,66,60,19,5,71,3.3,12.5,0.27,0.3,8,6,3,14,1,0,6.5,0.135,0.315,-6.4,0.281,0.312,0.41600000000000004,0.728,1.0,85,-1.24
Alexei Ramirez,White Sox,136,480,509,139,94,22,2,21,65,77,18,3,61,3.5,12.0,0.3,0.294,3,4,4,14,13,9,-8.3,0.185,0.34,4.7,0.29,0.317,0.475,0.792,0.9,102,0.27
Ramon Hernandez,Orioles,133,463,507,119,81,22,1,15,49,65,32,3,62,6.3,12.2,0.52,0.265,5,6,1,9,0,0,5.2,0.149,0.311,-7.2,0.257,0.308,0.406,0.7140000000000001,0.9,84,-0.25
Casey Kotchman,Braves,143,525,573,143,100,28,1,14,65,74,36,5,39,6.3,6.8,0.92,0.272,9,3,0,18,2,1,0.4,0.13699999999999998,0.32299999999999995,-2.6,0.272,0.32799999999999996,0.41,0.738,0.9,95,0.68
Aaron Rowand,Giants,152,549,611,149,99,37,0,13,57,70,44,7,126,7.2,20.6,0.35,0.32899999999999996,14,4,0,21,2,4,-4.4,0.138,0.32799999999999996,-0.1,0.271,0.33899999999999997,0.41,0.7490000000000001,0.8,96,-0.42
Corey Hart,Brewers,157,612,657,164,93,45,6,20,76,91,27,2,109,4.1,16.6,0.25,0.293,5,9,4,17,23,7,-11.2,0.191,0.325,-1.9,0.268,0.3,0.45899999999999996,0.759,0.8,95,-1.33
Daric Barton,Athletics,140,446,523,101,70,17,5,9,59,47,65,5,99,12.4,18.9,0.66,0.27,3,3,6,6,2,1,-5.9,0.121,0.303,-11.0,0.226,0.327,0.348,0.674,0.6,84,-1.02
Adam Dunn,Diamondbacks,158,517,651,122,59,23,0,40,79,100,122,13,164,18.7,25.2,0.74,0.258,7,5,0,7,2,1,-37.6,0.27699999999999997,0.384,30.1,0.23600000000000002,0.386,0.513,0.898,0.6,130,2.66
Jason Kubel,Twins,141,463,517,126,79,22,5,20,74,78,47,2,91,9.1,17.6,0.52,0.295,0,7,0,12,0,1,-20.4,0.19899999999999998,0.34700000000000003,8.1,0.272,0.335,0.47100000000000003,0.805,0.5,112,0.93
Freddy Sanchez,Pirates,145,569,608,154,117,26,2,9,75,52,21,1,63,3.5,10.4,0.33,0.28800000000000003,4,6,8,13,0,1,5.1,0.1,0.294,-17.2,0.271,0.298,0.371,0.669,0.5,74,-0.65
Felipe Lopez,Cardinals,143,481,532,136,100,28,2,6,64,46,43,2,82,8.1,15.4,0.52,0.32799999999999996,3,3,2,13,8,8,-5.7,0.10400000000000001,0.325,-1.6,0.28300000000000003,0.34299999999999997,0.387,0.73,0.4,94,-2.33
Paul Konerko,White Sox,122,438,514,105,63,19,1,22,59,62,65,4,80,12.6,15.6,0.81,0.244,7,4,0,17,2,0,-9.3,0.19899999999999998,0.34299999999999997,6.2,0.24,0.344,0.43799999999999994,0.7829999999999999,0.4,104,-0.74
Garrett Atkins,Rockies,155,611,664,175,119,32,3,21,86,99,40,0,100,6.0,15.1,0.4,0.308,3,10,0,20,1,1,-15.8,0.165,0.33799999999999997,5.6,0.28600000000000003,0.32799999999999996,0.452,0.78,0.1,94,-2.01
Yuniesky Betancourt,Mariners,153,559,590,156,110,36,3,7,66,51,17,0,42,2.9,7.1,0.4,0.289,2,6,6,23,4,4,-4.0,0.113,0.302,-12.8,0.27899999999999997,0.3,0.392,0.691,0.1,84,-2.57
Michael Bourn,Astros,138,467,514,107,88,10,4,5,57,29,37,0,111,7.2,21.6,0.33,0.29,2,1,7,3,41,10,4.2,0.071,0.267,-25.8,0.22899999999999998,0.28800000000000003,0.3,0.588,0.0,58,-2.45
Robinson Cano,Yankees,159,597,634,162,110,35,3,14,70,72,26,3,65,4.1,10.3,0.4,0.28300000000000003,5,5,1,18,2,4,-8.8,0.139,0.311,-9.2,0.271,0.305,0.41,0.715,0.0,86,-0.87
Jeremy Hermida,Marlins,142,502,559,125,83,22,3,17,74,61,48,5,138,8.6,24.7,0.35,0.31,7,1,1,12,6,1,-10.5,0.157,0.32,-3.9,0.249,0.32299999999999995,0.406,0.7290000000000001,0.0,90,1.25
Lastings Milledge,Nationals,138,523,587,140,100,24,2,14,65,61,38,1,96,6.5,16.4,0.4,0.3,14,7,5,19,24,9,-14.7,0.134,0.32299999999999995,-2.4,0.268,0.33,0.402,0.731,0.0,93,-1.54
Kevin Millar,Orioles,145,531,610,124,79,25,0,20,73,72,71,3,93,11.6,15.2,0.76,0.245,2,6,0,8,0,1,-8.3,0.16,0.317,-5.7,0.23399999999999999,0.32299999999999995,0.39399999999999996,0.7170000000000001,-0.2,88,-1.98
Willy Taveras,Rockies,133,479,538,120,102,15,2,1,64,26,36,0,79,6.7,14.7,0.46,0.29600000000000004,5,3,15,4,68,7,-2.5,0.046,0.27699999999999997,-22.9,0.251,0.308,0.29600000000000004,0.604,-0.2,54,-1.63
Ryan Garko,Indians,141,495,563,135,99,21,1,14,61,90,45,1,86,8.0,15.3,0.52,0.3,15,8,0,10,0,0,-17.7,0.131,0.33299999999999996,2.3,0.273,0.34600000000000003,0.40399999999999997,0.75,-0.2,102,0.12
Mark Teahen,Royals,149,572,623,146,96,31,4,15,66,59,46,4,131,7.4,21.0,0.35,0.306,3,2,0,6,4,3,-13.8,0.147,0.313,-7.9,0.255,0.313,0.402,0.715,-0.3,86,-2.23
James Loney,Dodgers,161,595,651,172,118,35,6,13,66,90,45,6,85,6.9,13.1,0.53,0.315,3,7,1,25,7,4,-22.0,0.145,0.335,3.4,0.289,0.33799999999999997,0.434,0.772,-0.4,102,-1.67
Ken Griffey Jr.,White Sox,143,490,575,122,73,30,1,18,67,71,78,14,89,13.6,15.5,0.88,0.26899999999999996,3,4,0,13,0,1,-16.8,0.17600000000000002,0.336,3.9,0.249,0.353,0.424,0.778,-0.5,99,0.33
Brad Hawpe,Rockies,138,488,569,138,86,24,3,25,69,85,76,6,134,13.4,23.6,0.57,0.341,3,2,0,7,2,2,-42.1,0.215,0.381,24.7,0.28300000000000003,0.381,0.498,0.879,-0.7,122,1.72
Jose Guillen,Royals,153,598,633,158,95,42,1,20,66,97,23,3,106,3.6,16.7,0.22,0.29100000000000004,9,3,0,23,2,1,-15.8,0.174,0.319,-4.9,0.264,0.3,0.43799999999999994,0.738,-0.9,90,-0.4
Delmon Young,Twins,152,575,623,167,125,28,4,10,80,69,35,7,105,5.6,16.9,0.33,0.33799999999999997,7,5,1,19,14,5,-27.0,0.115,0.32299999999999995,-2.5,0.29,0.336,0.405,0.741,-0.9,96,-1.2
Mike Jacobs,Marlins,141,477,519,118,57,27,2,32,67,93,36,10,119,6.9,22.9,0.3,0.26,1,5,0,7,1,0,-26.6,0.266,0.33799999999999997,4.3,0.247,0.299,0.514,0.812,-1.0,102,0.63
Jeff Francoeur,Braves,155,599,653,143,96,33,3,11,70,71,39,5,111,6.0,17.0,0.35,0.27399999999999997,10,4,0,18,0,1,-9.1,0.12,0.28800000000000003,-21.9,0.239,0.294,0.359,0.653,-1.2,71,-3.88
