Name,Team,OBP,SLG,BABIP,BB%,K%,Def,ISO,WAR,wOBA,wRC+
Chris Taylor,Dodgers,0.354,0.496,0.361,8.8,25.0,3.5,0.208,4.7,0.361,126
Christian Yelich,Marlins,0.369,0.439,0.336,11.5,19.7,2.4,0.156,4.5,0.348,115
Freddie Freeman,Braves,0.403,0.586,0.335,12.6,18.5,-6.4,0.28,4.5,0.407,152
George Springer,Astros,0.367,0.522,0.297,10.2,17.6,-5.5,0.239,4.5,0.376,140
Gary Sanchez,Yankees,0.345,0.531,0.304,7.6,22.9,8.6,0.253,4.4,0.368,130
Daniel Murphy,Nationals,0.384,0.543,0.341,8.8,13.0,-1.0,0.221,4.3,0.385,136
Buster Posey,Giants,0.4,0.462,0.347,10.7,11.6,5.8,0.142,4.3,0.366,128
Avisail Garcia,White Sox,0.38,0.506,0.392,5.9,19.8,-4.5,0.176,4.2,0.375,137
Eugenio Suarez,Reds,0.367,0.461,0.309,13.3,23.3,8.3,0.2,4.1,0.356,117
Eric Hosmer,Royals,0.385,0.498,0.351,9.8,15.5,-12.3,0.179,4.1,0.376,135
Jose Abreu,White Sox,0.354,0.552,0.33,5.2,17.6,-11.7,0.248,4.1,0.377,138
Jonathan Schoop,Orioles,0.338,0.503,0.33,5.2,21.0,2.8,0.211,4.1,0.355,121
Lorenzo Cain,Royals,0.363,0.44,0.34,8.4,15.5,3.5,0.14,4.1,0.347,115
Elvis Andrus,Rangers,0.337,0.471,0.325,5.5,14.7,4.5,0.174,4.1,0.344,110
Marwin Gonzalez,Astros,0.377,0.53,0.343,9.5,19.2,-5.4,0.226,4.1,0.382,144
Cody Bellinger,Dodgers,0.352,0.581,0.299,11.7,26.6,-6.0,0.315,4.0,0.38,138
Anthony Rizzo,Cubs,0.392,0.507,0.273,13.2,13.0,-7.5,0.234,4.0,0.38,133
Didi Gregorius,Yankees,0.318,0.478,0.287,4.4,12.3,11.3,0.191,3.9,0.335,107
Nelson Cruz,Mariners,0.375,0.549,0.315,10.9,21.7,-16.7,0.261,3.8,0.385,146
Alex Bregman,Astros,0.352,0.475,0.311,8.8,15.5,-1.4,0.191,3.8,0.351,122
Brett Gardner,Yankees,0.35,0.428,0.3,10.6,17.9,1.1,0.163,3.8,0.336,108
Andrew McCutchen,Pirates,0.363,0.486,0.305,11.2,17.8,-3.3,0.207,3.7,0.36,122
Steven Souza Jr.,Rays,0.351,0.459,0.302,13.6,29.0,-2.6,0.22,3.7,0.348,120
J.T. Realmuto,Marlins,0.332,0.451,0.318,6.2,18.3,12.5,0.173,3.6,0.332,105
Tim Beckham,Orioles,0.328,0.454,0.365,6.3,29.0,8.7,0.176,3.5,0.334,109
Jed Lowrie,Athletics,0.36,0.448,0.314,11.3,15.5,-0.8,0.171,3.5,0.347,119
